0000;Pon Drum
0206;Rarepon Helm【Pyokola Lv5】
0207;Rarepon Helm【Pyokola Lv10】
0208;Rarepon Helm【Gekolos Lv1】
0209;Rarepon Helm【Gekolos Lv5】
020A;Rarepon Helm【Gekolos Lv10】
020B;Rarepon Helm【Mofeel Lv1】
020C;Rarepon Helm【Mofeel Lv5】
020D;Rarepon Helm【Mofeel Lv10】
020E;Rarepon Helm【Tikulee Lv1】
020F;Rarepon Helm【Tikulee Lv5】
0210;Rarepon Helm【Tikulee Lv10】
0211;Rarepon Helm【Mogyun Lv1】
0212;Rarepon Helm【Mogyun Lv5】
0213;Rarepon Helm【Mogyun Lv10】
0214;Rarepon Helm【Basara Lv1】
0215;Rarepon Helm【Basara Lv5】
0216;Rarepon Helm【Basara Lv10】
0217;Rarepon Helm【Pig Lv1】
0218;Rarepon Helm【Pig Lv5】
0219;Rarepon Helm【Pig Lv10】
021A;Rarepon Helm【Cat Lv1】
021B;Rarepon Helm【Cat Lv5】
021C;Rarepon Helm【Cat Lv10】
021D;Rarepon Helm【Dog Lv1】
021E;Rarepon Helm【Dog Lv5】
021F;Rarepon Helm【Dog Lv10】
0220;Rarepon Helm【Tree Lv1】
0221;Rarepon Helm【Tree Lv5】
0222;Rarepon Helm【Tree Lv10】
0223;Rarepon Helm【Fish Lv1】
0224;Rarepon Helm【Fish Lv5】
0225;Rarepon Helm【Fish Lv10】
0226;Rarepon Helm【Monkey Lv1】
0227;Rarepon Helm【Monkey Lv5】
0228;Rarepon Helm【Monkey Lv10】
0229;Rarepon Helm【Mushroom Lv1】
022A;Rarepon Helm【Mushroom Lv5】
022B;Rarepon Helm【Mushroom Lv10】
022C;Rarepon Helm【Penguin Lv1】
022D;Rarepon Helm【Penguin Lv5】
022E;Rarepon Helm【Penguin Lv10】
022F;Rarepon Helm【Deer Lv1】
0230;Rarepon Helm【Deer Lv5】
0231;Rarepon Helm【Deer Lv10】
0232;Rarepon Helm【Dragon Lv1】
0233;Rarepon Helm【Dragon Lv5】
0234;Rarepon Helm【Dragon Lv10】
0235;Sutata
0236;Suttata
0237;Sutatattan
0238;Sutatanooo
0239;Gashishi
023A;Gasshin
023B;Zugashi
023C;Gasshingaa
023D;Gochichi
023E;Gocchin
023F;Gocchinko
0240;Gochigachidesu
0241;Shuba
0242;Shubaba
0243;Shubabiya
0244;Shubabassa
0245;Bishiri
0246;Bisharin
0247;Donpisha
0248;Dopishana
0249;Gurara
024A;Guraran
024B;Guranguran
024C;Gurarandaa
024D;Ototo
024E;Ottoto
024F;Ottototo
0250;Ototodokko
0251;Merara
0252;Meracchi
0253;Meraachichi
0254;Meraachiize
0255;Kachichi
0256;Kachikochi
0257;Kachinkon
0258;Kacchikochin
0259;Neokoro
025A;Nenkoro
025B;Nenkorori
025C;Nekororinyo
025D;Kakin
025E;Kakikoki
025F;Kakkinko
0260;Kakkokingu
0261;Hirara
0262;Hirarin
0263;Hiraratto
0264;Hirarinmaru
0265;Biyoyo
0266;Biyoyon
0267;Byororon
0268;Babyobyon
0269;Doshishi
026A;Dosshiri
026B;Zundoshiri
026C;Doshirittan
026D;Shitoto
026E;Shitton
026F;Shittoriyo
0270;Shittoriine
0271;Meranya
0272;Nameranya
0273;Dameranya
0274;Dameranyan
0275;Popoka
0276;Pokapoka
0277;Popopokka
0278;Poppkaana
0279;Nonburu
027A;Nonbururu
027B;Nonnooburu
027C;Nonburussa
027D;Babiri
027E;Babirira
027F;Babiriino
0280;Babinonnon
0281;Jirin
0282;Jiririn
0283;Jinjirin
0284;Jiririntan
0285;Zubaba
0286;Zubizuba
0287;Zunzubiba
0288;Zubizubabaya
0289;Kachiko
028A;Kachikochi
028B;Kacchinko
028C;Kachinkocchi
028D;Myuu
028E;Myuuto
028F;Myuutan
0290;Myuutaron
0291;Dogyuun
0292;Dongyugyu
0293;Dodongyuu
0294;Zuddongyu
0295;Subasara
0296;Rabasara
0297;Rabarassa
0298;Rabasarana
0299;Sutata
029A;Suttata
029B;Sutatattan
029C;Sutatanooo
029D;Gashishi
029E;Gasshin
029F;Zugashi
02A0;Gasshingaa
02A1;Gochichi
02A2;Gocchin
02A3;Gocchinko
02A4;Gochigachidesu
02A5;Shuba
02A6;Shubaba
02A7;Shubabiya
02A8;Shubabassa
02A9;Bishiri
02AA;Bisharin
02AB;Donpisha
02AC;Dopishana
02AD;Gurara
02AE;Guraran
02AF;Guranguran
02B0;Gurarandaa
02B1;Ototo
02B2;Ottoto
02B3;Ottototo
02B4;Ototodokko
02B5;Merara
02B6;Meracchi
02B7;Meraachichi
02B8;Meraachiize
02B9;Kachichi
02BA;Kachikochi
02BB;Kachinkon
02BC;Kacchikochin
02BD;Neokoro
02BE;Nenkoro
02BF;Nenkorori
02C0;Nekororinyo
02C1;Kakin
02C2;Kakikoki
02C3;Kakkinko
02C4;Kakkokingu
02C5;Hirara
02C6;Hirarin
02C7;Hiraratto
02C8;Hirarinmaru
02C9;Biyoyo
02CA;Biyoyon
02CB;Byororon
02CC;Babyobyon
02CD;Doshishi
02CE;Dosshiri
02CF;Zundoshiri
02D0;Doshirittan
02D1;Shitoto
02D2;Shitton
02D3;Shittoriyo
02D4;Shittoriine
02D5;Meranya
02D6;Nameranya
02D7;Dameranya
02D8;Dameranyan
02D9;Popoka
02DA;Pokapoka
02DB;Popopokka
02DC;Poppkaana
02DD;Nonburu
02DE;Nonbururu
02DF;Nonnooburu
02E0;Nonburussa
02E1;Babiri
02E2;Babirira
02E3;Babiriino
02E4;Babinonnon
02E5;Jirin
02E6;Jiririn
02E7;Jinjirin
02E8;Jiririntan
02E9;Zubaba
02EA;Zubizuba
02EB;Zunzubiba
02EC;Zubizubabaya
02ED;Kachiko
02EE;Kachikochi
02EF;Kacchinko
02F0;Kachinkocchi
02F1;Myuu
02F2;Myuuto
02F3;Myuutan
02F4;Myuutaron
02F5;Dogyuun
02F6;Dongyugyu
02F7;Dodongyuu
02F8;Zuddongyu
02F9;Subasara
02FA;Rabasara
02FB;Rabarassa
02FC;Rabasarana
02FD;Head of Dodonga
02FE;Head of Majidonga
02FF;Head of Zaknel
0300;Head of Dokaknel
0301;Head of Gaeen
0302;Head of Dogaeen
0303;Ciokina's Pincer
0304;Cioking's Pincer
0305;Head of Shookle
0306;Head of Shooshookle
0307;Head of Gorl
0308;Head of Mochichi
0309;Head of Momoti
030A;Head of Motsitsi
030B;Kacheek
030C;Picheek
030D;Parcheek
030E;Poocheek
030F;Gancheek
0310;Kacheek (sand)
0311;Kacheek (swamp)
0312;Kacheek (stone)
0313;Goruru Head
0314;Mochichichi Head
0315;Fenicci Head
0316;Manboth Fang
0317;Manboroth Fang
0318;Centura Head
0319;Darantula Head
031A;Kanogias Cannon
031B;Ganodiath Cannon
031C;Dettankarmen Head
031D;Zuttankarmen Head
031E;Babato
031F;Zubatto
0320;Dobatto
0321;Rappapa
0322;Pekkora
0323;Pekkorako
0324;Uji
0325;Uji
0326;Kacchindonga Head
0327;Kacheek (Snow)
0328;Dodonga Egg Lv.<N11>
0329;Majidonga Egg Lv.<N12>
032A;Zaknel Egg Lv.<N13>
032B;Dokaknel Egg Lv.<N14>
032C;Gaeen Egg Lv.<N15>
032D;Dogaeen Egg Lv.<N16>
032E;Ciokina Egg Lv.<N17>
032F;Cioking Egg Lv.<N18>
0330;Shookle Egg Lv.<N19>
0331;Shooshookle Egg Lv.<N20>
0332;Goruru Egg Lv.<N21>
0333;Garuru Egg Lv.<N22>
0334;Mochichichi Egg Lv.<N23>
0335;Fenicci Egg Lv.<N24>
0336;Manboth Egg Lv.<N25>
0337;Manboroth Egg Lv.<N26>
0338;Centura Egg Lv.<N27>
0339;Darantula Egg Lv.<N28>
033A;Kanogias Egg Lv.<N29>
033B;Ganodias Egg Lv.<N30>
033C;Dettankarmen Egg Lv.<N31>
033D;Zuttankarmen Egg Lv.<N32>
033E;Kacchindonga Egg Lv.<N33>
033F;Karmen Egg Lv. <N34>
0340;Sword Summit Egg Lv. <N35>
0341;Pharamatara Egg Lv.<N36>
0342;Ice Fortress Egg Lv.<N37>
0343;Oasis Egg Lv. <N38>
0344;Karmen Gate Egg Lv. <N39>
0345;Underworld Egg Lv. <N40>
0346;不思議な卵31 Lv.<N41>
0347;不思議な卵32 Lv.<N42>
0348;不思議な卵33 Lv.<N43>
0349;不思議な卵34 Lv.<N44>
034A;不思議な卵35 Lv.<N45>
034B;不思議な卵36 Lv.<N46>
034C;(Yaripon) Okishi
034D;(Tatepon) Kabon
034E;(Yumipon) Lutecci
034F;(Kibapon) Silba
0350;(Dekapon) Buruch
0351;(Megapon) Natolie
0352;(Yaripon) Moribu
0353;(Tatepon) Kyuro
0354;(Yumipon) Hassh
0355;(Kibapon) Ladodon
0356;(Dekapon) Germa
0357;(Megapon) Rolent
0358;(Toripon) Neoja
0359;(Robopon) Seren
035A;(Mahopon) Rantan
035B;(Yaripon) Pondere
035C;(Tatepon) Bakun
035D;(Yumipon) Markyu
035E;(Kibapon) Magmag
035F;(Dekapon) Goldon
0360;(Megapon) Serime
0361;(Toripon) Sibou
0362;(Robopon) Baryun
0363;(Mahopon) Prati
0364;(Toripon) Artom
