01A5;Flying Shoes
01A6;Sun Shoes
01A7;Dragon Shoes
01A8;Heaven Shoes
01A9;Magic Shoes Lilith
01AA;Friendship Shoes
01AB;
01AC;
01AD;
01AE;Wooden Helm
01AF;Iron Helm
01B0;Steel Helm
01B1;Wind Helm
01B2;Strength Helm
01B3;Ancient Helm
01B4;"Giant Helm ""Turtle"""
01B5;Divine Helm<N0>
01B6;Bunny Head
01B7;Scorpiton Helm
01B8;Spiderton Helm
01B9;Beetleton Helm
01BA;Gong's Helm
01BB;Fire Helm
01BC;Thunder Helm
01BD;Snow Helm
01BE;Flying Helm
01BF;Sun Helm
01C0;Dragon Helm
01C1;Wing Helm
01C2;Cook's Hat
01C3;Jeweled Tiara
01C4;Samurai Head
01C5;Heaven Helm
01C6;Magic Helm Hades
01C7;Friendship Helm
01C8;Great God Helmet
01C9;Lordly Hairpiece
01CA;
01CB;
01CC;(no translation needed)
01CD;(no translation needed)
01CE;(no translation needed)
01CF;(no translation needed)
01D0;(no translation needed)
01D1;(no translation needed)
01D2;(no translation needed)
01D3;(no translation needed)
01D4;(no translation needed)
01D5;(no translation needed)
01D6;(no translation needed)
01D7;(no translation needed)
01D8;(no translation needed)
01D9;(no translation needed)
01DA;(no translation needed)
01DB;(no translation needed)
01DC;(no translation needed)
01DD;(no translation needed)
01DE;(no translation needed)
01DF;(no translation needed)
01E0;(no translation needed)
01E1;(no translation needed)
01E2;(no translation needed)
01E3;(no translation needed)
01E4;(no translation needed)
01E5;(no translation needed)
01E6;(no translation needed)
01E7;(no translation needed)
01E8;(no translation needed)
01E9;(no translation needed)
01EA;(no translation needed)
01EB;(no translation needed)
01EC;(no translation needed)
01ED;(no translation needed)
01EE;(no translation needed)
01EF;(no translation needed)
01F0;(no translation needed)
01F1;(no translation needed)
01F2;(no translation needed)
01F3;(no translation needed)
01F4;(no translation needed)
01F5;(no translation needed)
01F6;(no translation needed)
01F7;(no translation needed)
01F8;(no translation needed)
01F9;(no translation needed)
01FA;(no translation needed)
01FB;(no translation needed)
01FC;(no translation needed)
01FD;(no translation needed)
01FE;(no translation needed)
01FF;(no translation needed)
0200;(no translation needed)
0201;(no translation needed)
0202;(no translation needed)
0203;(no translation needed)
0204;(no translation needed)
0205;(no translation needed)
0206;(no translation needed)
0207;(no translation needed)
0208;(no translation needed)
0209;(no translation needed)
020A;(no translation needed)
020B;(no translation needed)
020C;(no translation needed)
020D;(no translation needed)
020E;(no translation needed)
020F;(no translation needed)
0210;(no translation needed)
0211;(no translation needed)
0212;(no translation needed)
0213;(no translation needed)
0214;(no translation needed)
0215;(no translation needed)
0216;(no translation needed)
0217;(no translation needed)
0218;(no translation needed)
0219;(no translation needed)
021A;(no translation needed)
021B;(no translation needed)
021C;(no translation needed)
021D;(no translation needed)
021E;(no translation needed)
021F;(no translation needed)
0220;(no translation needed)
0221;(no translation needed)
0222;(no translation needed)
0223;(no translation needed)
0224;(no translation needed)
0225;(no translation needed)
0226;(no translation needed)
0227;(no translation needed)
0228;(no translation needed)
0229;(no translation needed)
022A;(no translation needed)
022B;(no translation needed)
022C;(no translation needed)
022D;(no translation needed)
022E;(no translation needed)
022F;(no translation needed)
0230;(no translation needed)
0231;(no translation needed)
0232;(no translation needed)
0233;(no translation needed)
0234;(no translation needed)
0235;Sutata
0236;Suttata
0237;Sutatattan
0238;Sutatanooo
0239;Gashishi
023A;Gasshin
023B;Zugashi
023C;Gasshingaa
023D;Gochichi
023E;Gocchin
023F;Cocchinko
0240;Gochigachidesu
0241;Shuba
0242;Shubaba
0243;Shubabiya
0244;Shubabassa
0245;Bishiri
0246;Bisharin
0247;Donpisha
0248;Dopishana
0249;Gurara
024A;Guraran
024B;Guranguran
024C;Gurarandaa
024D;Ototo
024E;Ottoto
024F;Ottototo
0250;Ototodokko
0251;Merara
0252;Meracchi
0253;Meraachichi
0254;Meraachiize
0255;Kachichi
0256;Kachikochi
0257;Kachinkon
0258;Kacchikochin
0259;Nekoro
025A;Nenkoro
025B;Nenkorori
025C;Nekororinyo
025D;Kakin
025E;Kakikoki
025F;Kakkinko
0260;Kakkokingu
0261;Hirara
0262;Hirarin
0263;Hiraratto
0264;Hirarinmaru
0265;Biyoyo
0266;Biyoyon
0267;Byororon
0268;Babyobyon
0269;Doshishi
026A;Dosshiri
026B;Zundoshiri
026C;Doshirittan
026D;Chitoto
026E;Chitton
026F;Chittoriyo
0270;Chittoriine
0271;Meranya
0272;Nameranya
0273;Dameranya
0274;Dameranyan
0275;Popoka
0276;Pokapoka
0277;Popopokka
0278;Poppkaana
0279;Nonburu
027A;Nonbururu
027B;Nonnooburu
027C;Nonburussa
027D;Babiri
027E;Babirira
027F;Babiriino
0280;Babinonnon
0281;Jirin
0282;Jiririn
0283;Jinjirin
0284;Jiririntan
0285;Zubaba
0286;Zubizuba
0287;Zunzunbiba
0288;Zubizubabaya
0289;Kachiko
028A;Kachikochi
028B;Kacchinko
028C;Kachinkocchi
028D;Myuu
028E;Myuuto
028F;Myuutan
0290;Myuutaron
0291;Dogyuun
0292;Dongyugyu
0293;Dodongyuu
0294;Zuddongyu
0295;Subasara
0296;Rabasara
0297;Raparassa
0298;Rapasaraana
0299;Sutata
029A;Suttata
029B;Sutatattan
029C;Sutatanooo
029D;Gashishi
029E;Gasshin
029F;Zugashi
02A0;Gasshingaa
02A1;Gochichi
02A2;Gocchin
02A3;Cocchinko
02A4;Gochigachidesu
02A5;Shuba
02A6;Shubaba
02A7;Shubabiya
02A8;Shubabassa
02A9;Bishiri
02AA;Bisharin
02AB;Donpisha
02AC;Dopishana
02AD;Gurara
02AE;Guraran
02AF;Guranguran
02B0;Gurarandaa
02B1;Ototo
02B2;Ottoto
02B3;Ottototo
02B4;Ototodokko
02B5;Merara
02B6;Meracchi
02B7;Meraachichi
02B8;Meraachiize
02B9;Kachichi
02BA;Kachikochi
02BB;Kachinkon
02BC;Kacchikochin
02BD;Nekoro
02BE;Nenkoro
02BF;Nenkorori
02C0;Nekororinyo
02C1;Kakin
02C2;Kakikoki
02C3;Kakkinko
02C4;Kakkokingu
02C5;Hirara
02C6;Hirarin
02C7;Hiraratto
02C8;Hirarinmaru
02C9;Biyoyo
02CA;Biyoyon
02CB;Byororon
02CC;Babyobyon
02CD;Doshishi
02CE;Dosshiri
02CF;Zundoshiri
02D0;Doshirittan
02D1;Chitoto
02D2;Chitton
02D3;Chittoriyo
02D4;Chittoriine
02D5;Meranya
02D6;Nameranya
02D7;Dameranya
02D8;Dameranyan
02D9;Popoka
02DA;Pokapoka
02DB;Popopokka
02DC;Poppkaana
02DD;Nonburu
02DE;Nonbururu
02DF;Nonnooburu
02E0;Nonburussa
02E1;Babiri
02E2;Babirira
02E3;Babiriino
02E4;Babinonnon
02E5;Jirin
02E6;Jiririn
02E7;Jinjirin
02E8;Jiririntan
02E9;Zubaba
02EA;Zubizuba
02EB;Zunzunbiba
02EC;Zubizubabaya
02ED;Kachiko
02EE;Kachikochi
02EF;Kacchinko
02F0;Kachinkocchi
02F1;Myuu
02F2;Myuuto
02F3;Myuutan
02F4;Myuutaron
02F5;Dogyuun
02F6;Dongyugyu
02F7;Dodongyuu
02F8;Zuddongyu
02F9;Subasara
02FA;Rabasara
02FB;Raparassa
02FC;Rapasaraana
02FD;Head of Dodonga
02FE;Head of Majidonga
02FF;Head of Zaknel
0300;Head of Dokaknel
0301;Head of Gaeen
0302;Head of Dogaeen
0303;Cioking's Pincer
0304;Ciokinna's Pincer
0305;Head of Shookle
0306;Head of Shooshookle
0307;Head of Gorl
0308;Head of Mocchichi
0309;Head of Momoti
030A;Head of Motsitsi
030B;Kacheek
030C;Picheek
030D;Parcheek
030E;Poocheek
030F;Gancheek
0310;Kacheek (sand)
0311;Kacheek (swamp)
0312;Kacheek (stone)
0313;Garuru Head
0314;Mochicchichi Head
0315;Fenicchi Head
0316;Manboroth Fang
0317;Manboroth Fang
0318;Centura Head
0319;Darantula Head
031A;Kanogias Cannon
031B;Ganodias Cannon
031C;Dettankarmen Head
031D;Zuttankarmen Head
031E;Babato
031F;Pipat
0320;Dobatto
0321;Rappapa
0322;Pekkora
0323;Pekkorako
0324;Uji
0325;Uji
0326;Kachindonga Head
0327;Karcheek (Snow)
0328;Normal
0329;Normal
032A;Normal
032B;Pyopyo
032C;Pyokora
032D;Pyokoran
032E;Nyontama
032F;Gekoroth
0330;Gekoronpa
0331;Mofu
0332;Mofuuru
0333;Mofurumo
0334;Chiku
0335;Chikkuri
0336;Chikurinchi
0337;Mogyu
0338;Mogyuun
0339;Mogyugyu
033A;Sabara
033B;Baasara
033C;Babassa
033D;Buhyokko
033E;Buhyonku
033F;Puuhyonku
0340;Fumya
0341;Fumyaaru
0342;Funmyaga
0343;Wanda
0344;Wandaba
0345;Wandabata
0346;Menyokki
0347;Kisuk
0348;Moriussoo
0349;Chigyobi
034A;Gyopicchi
034B;Gyogyoppa
034C;Uhoho
034D;Uuhoho
034E;Uhokkya
034F;Mashu
0350;Mashuro
0351;Mashuriro
0352;Koppen
0353;Suppen
0354;Supengu
0355;Kanokko
0356;Kanokyon
0357;Kanodia
0358;Gyaba
0359;Gyabaan
035A;Wagyanba
035B;Dodonga Egg Lv.<N11>
035C;Majidonga Egg Lv.<N12>
035D;Zaknel Egg Lv.<N13>
035E;Dokaknel Egg Lv.<N14>
035F;Gaeen Egg Lv.<N15>
0360;Dogaeen Egg Lv.<N16>
0361;Ciokina Egg Lv.<N17>
0362;Cioking Egg Lv.<N18>
0363;Shookle Egg Lv.<N19>
0364;Shooshookle Egg Lv.<N20>
0365;Goruru Egg Lv.<N21>
0366;Garuru Egg Lv.<N22>
0367;Mochicchichi Egg Lv.<N23>
0368;Fenicchi Egg Lv.<N24>
0369;Manboth Egg Lv.<N25>
036A;Manboroth Egg Lv.<N26>
036B;Centura Egg Lv.<N27>
036C;Darantula Egg Lv.<N28>
036D;Kanogias Egg Lv.<N29>
036E;Ganodias Egg Lv.<N30>
036F;Dettankarmen Egg Lv.<N31>
0370;Zuttankarmen Egg Lv.<N32>
0371;Kacchindonga Egg Lv.<N33>
0372;Karmen Egg Lv. <N34>
0373;Sword Summit Egg Lv. <N35>
0374;Pharamatara Egg Lv.<N36>
0375;Ice Fortress Egg Lv.<N37>
0376;Oasis Battle Egg Lv. <N38>
0377;Karmen Gate Egg Lv. <N39>
0378;Underworld Egg Lv. <N40>
0379;
037A;
037B;
037C;
037D;
037E;
037F;(Yaripon) Okishi
0380;(Tatepon) Kabon
0381;(Yumipon) Lutecci
0382;(Kibapon) Silba
0383;(Dekapon) Buruch
0384;(Megapon) Natolie
0385;(Yaripon) Moribu
0386;(Tatepon) Kyuro
0387;(Yumipon) Hassh
0388;(Kibapon) Ladodon
0389;(Dekapon) Germa
038A;(Megapon) Rolent
038B;(Toripon) Neoja
038C;(Robopon) Seren
038D;(Mahopon) Rantan
038E;(Yaripon) Pondere
038F;(Tatepon) Bakun
0390;(Yumipon) Markyu
0391;(Kibapon) Magmag
0392;(Dekapon) Goldon
0393;(Megapon) Serime
0394;(Toripon) Sibou
0395;(Robopon) Baryun
0396;(Mahopon) Prati
0397;(Toripon) Artom
0398;Evolve to Yaripon
0399;Evolve to Tatepon
039A;Evolve to Yumipon
039B;Evolve to Kibapon
039C;Evolve to Dekapon
039D;Evolve to Megapon
039E;Evolve to Toripon
039F;Evolve to Robopon
03A0;Evolve to Mahopon
03A1;Blank Map
03A2;Bent Compass
03A3;Dusty Crystal
03A4;Broken Sign
03A5;Black Star
03A6;Dark Palace Model
